Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit,BTC_Price_USD,ETH_Price_USD
2024-01-01,62258618450000.00,39.94,24868394143068.93,44100.00,24868394098968.93,87127012548968.94,0.00,75.0,39,28.3,Rate Cut Expectations,Above Break-Even,No,27626.91,430.59
2024-02-01,87127012548968.94,48.47,42230476750293.13,44100.00,42230476706193.13,129357489255162.06,0.00,75.0,16,65.2,Election Year Politics,Above Break-Even,No,25098.83,671.82
2024-03-01,129357489255162.06,13.93,18018373926788.21,44100.00,18018373882688.21,147375863137850.28,0.00,70.9,54,70.3,Spring Rally,Above Break-Even,No,30295.92,471.21
2024-04-01,147375863137850.28,26.41,38923884485314.05,44100.00,38923884441214.05,186299747579064.31,0.00,75.0,54,69.4,Economic Recovery,Above Break-Even,No,21064.84,883.30
2024-05-01,186299747579064.31,39.66,73879802196430.66,44100.00,73879802152330.66,260179549731394.97,0.00,75.0,63,77.9,Summer Growth,Above Break-Even,No,19057.87,825.50
2024-06-01,260179549731394.97,33.80,87948822077212.39,44100.00,87948822033112.39,348128371764507.38,0.00,75.0,75,28.9,Tech Innovation,Above Break-Even,No,20643.19,970.61
2024-07-01,348128371764507.38,36.01,125347144167785.11,44100.00,125347144123685.11,473475515888192.50,0.00,75.0,59,63.2,Mid-Year Review,Above Break-Even,No,23253.53,507.60
2024-08-01,473475515888192.50,-24.98,-118288612097437.27,44100.00,-118288612141537.27,355186903746655.25,24.98,25.0,76,73.8,Back to School,Below Break-Even,Yes,26210.91,1205.38
2024-09-01,355186903746655.25,2.45,8711117162516.24,44100.00,8711117118416.24,363898020865071.50,23.14,53.7,37,35.0,Fall Expansion,Above Break-Even,Yes,23060.82,824.58
2024-10-01,363898020865071.50,9.03,32858116796413.71,44100.00,32858116752313.71,396756137617385.19,16.20,63.5,78,38.2,Q4 Preparation,Above Break-Even,No,20331.82,1163.34
2024-11-01,396756137617385.19,83.84,332651861979536.81,44100.00,332651861935436.81,729407999552822.00,0.00,75.0,43,88.8,Holiday Momentum,Above Break-Even,No,20310.76,716.96
2024-12-01,729407999552822.00,-0.89,-6516792040533.28,44100.00,-6516792084633.28,722891207468188.75,0.89,48.7,27,72.8,Year-End Strength,Below Break-Even,No,33094.19,1162.14
