Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit,BTC_Price_USD,ETH_Price_USD
2020-01-01,2450000.00,-2.16,-52888.90,44100.00,-96988.90,2353011.10,3.96,46.8,63,38.5,COVID-19 Market Crash,Below Break-Even,No,10663.78,214.44
2020-02-01,2353011.10,17.37,408606.80,44100.00,364506.80,2717517.90,0.00,75.0,55,61.2,Global Lockdown,Above Break-Even,No,6888.18,299.22
2020-03-01,2717517.90,51.32,1394597.69,44100.00,1350497.69,4068015.59,0.00,75.0,17,39.0,Supply Chain Disruption,Above Break-Even,No,9350.72,162.35
2020-04-01,4068015.59,-15.89,-646328.27,44100.00,-690428.27,3377587.32,16.97,26.2,55,71.5,Stimulus Announcement,Below Break-Even,No,7043.31,307.57
2020-05-01,3377587.32,-6.87,-232080.86,44100.00,-276180.86,3101406.46,23.76,39.7,79,84.1,Auto Dealers Reopen,Below Break-Even,Yes,10724.56,377.51
2020-06-01,3101406.46,27.92,865757.77,44100.00,821657.77,3923064.23,3.56,75.0,73,82.2,Summer Sales Boost,Above Break-Even,No,11829.84,297.79
2020-07-01,3923064.23,-36.23,-1421415.72,44100.00,-1465515.72,2457548.51,39.59,25.0,15,55.0,Travel Restrictions Ease,Below Break-Even,Yes,13417.09,194.23
2020-08-01,2457548.51,24.77,608682.92,44100.00,564582.92,3022131.43,25.71,75.0,31,70.5,Demand Recovery,Above Break-Even,Yes,12752.31,379.72
2020-09-01,3022131.43,26.53,801803.29,44100.00,757703.29,3779834.72,7.08,75.0,17,55.6,Fall Season Start,Above Break-Even,No,13352.96,478.11
2020-10-01,3779834.72,102.50,3874323.75,44100.00,3830223.75,7610058.47,0.00,75.0,44,26.3,Year-End Models,Above Break-Even,No,11656.05,263.39
2020-11-01,7610058.47,86.18,6557976.87,44100.00,6513876.87,14123935.34,0.00,75.0,57,80.5,Holiday Season Start,Above Break-Even,No,9075.64,458.70
2020-12-01,14123935.34,107.06,15120539.29,44100.00,15076439.29,29200374.63,0.00,75.0,38,35.1,Year-End Rush,Above Break-Even,No,10044.48,507.11
