Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit
2022-01-01,110250000.00,23.89,26338620.51,5250.00,26333370.51,136583370.51,0.00,75.0,29,48.6,Inflation Spike,Above Break-Even,No
2022-02-01,136583370.51,36.02,49201183.34,5250.00,49195933.34,185779303.84,0.00,75.0,47,26.6,Fed Rate Hikes,Above Break-Even,No
2022-03-01,185779303.84,2.93,5437260.51,5250.00,5432010.51,191211314.35,0.00,54.4,72,81.4,Ukraine Conflict,Above Break-Even,No
2022-04-01,191211314.35,10.74,20542539.10,5250.00,20537289.10,211748603.45,0.00,66.1,47,72.3,Energy Crisis,Above Break-Even,No
2022-05-01,211748603.45,17.19,36395446.43,5250.00,36390196.43,248138799.88,0.00,75.0,83,52.8,Supply Chain Issues,Above Break-Even,No
2022-06-01,248138799.88,20.61,51131667.75,5250.00,51126417.75,299265217.63,0.00,75.0,70,77.3,Summer Inflation,Above Break-Even,No
2022-07-01,299265217.63,24.01,71839904.82,5250.00,71834654.82,371099872.45,0.00,75.0,38,48.1,Recession Fears,Above Break-Even,No
2022-08-01,371099872.45,14.36,53305397.44,5250.00,53300147.44,424400019.89,0.00,71.5,31,39.3,Energy Prices Peak,Above Break-Even,No
2022-09-01,424400019.89,11.09,47053758.64,5250.00,47048508.64,471448528.53,0.00,66.6,42,32.2,Central Bank Action,Above Break-Even,No
2022-10-01,471448528.53,-8.87,-41794442.78,5250.00,-41799692.78,429648835.75,8.87,36.7,18,80.6,Market Volatility,Below Break-Even,No
2022-11-01,429648835.75,0.26,1104843.77,5250.00,1099593.77,430748429.52,8.63,50.4,40,60.7,Holiday Spending,Above Break-Even,No
2022-12-01,430748429.52,9.18,39540561.21,5250.00,39535311.21,470283740.73,0.25,63.8,60,49.2,Year-End Adjustment,Above Break-Even,No
