Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit,BTC_Price_USD,ETH_Price_USD
2025-01-01,4420361909950000.00,24.98,1104365870510868.75,44100.00,1104365870466768.75,5524727780416769.00,0.00,75.0,77,90.1,New Year Rally,Above Break-Even,No,33539.16,986.07
2025-02-01,5524727780416769.00,40.78,2252709692779852.50,44100.00,2252709692735752.50,7777437473152522.00,0.00,75.0,38,29.8,Policy Stability,Above Break-Even,No,24732.56,762.33
2025-03-01,7777437473152522.00,1.52,118092039473843.58,44100.00,118092039429743.58,7895529512582266.00,0.00,52.3,81,40.7,Spring Growth,Above Break-Even,No,19765.31,585.93
2025-04-01,7895529512582266.00,91.20,7200702997592582.00,44100.00,7200702997548482.00,15096232510130748.00,0.00,75.0,43,89.2,Market Confidence,Above Break-Even,No,31051.94,1075.12
2025-05-01,15096232510130748.00,16.56,2500141925099646.00,44100.00,2500141925055546.00,17596374435186294.00,0.00,74.8,16,43.8,Summer Success,Above Break-Even,No,35033.45,568.11
2025-06-01,17596374435186294.00,-16.30,-2869032482776193.50,44100.00,-2869032482820293.50,14727341952366000.00,16.30,25.5,76,37.3,Mid-Year Peak,Below Break-Even,No,21270.07,625.80
2025-07-01,14727341952366000.00,1.95,287005556083069.00,44100.00,287005556038969.00,15014347508404968.00,14.67,52.9,84,65.1,Innovation Drive,Above Break-Even,No,30565.13,805.91
2025-08-01,15014347508404968.00,-11.04,-1658274926108587.00,44100.00,-1658274926152687.00,13356072582252280.00,24.10,33.4,26,27.7,Back to Business,Below Break-Even,Yes,35759.02,971.97
2025-09-01,13356072582252280.00,5.56,742815627673280.12,44100.00,742815627629180.12,14098888209881460.00,19.88,58.3,35,54.7,Fall Prosperity,Above Break-Even,No,21813.89,986.89
2025-10-01,14098888209881460.00,104.20,14691072954370746.00,44100.00,14691072954326646.00,28789961164208104.00,0.00,75.0,57,91.5,Q4 Excellence,Above Break-Even,No,35214.74,834.19
2025-11-01,28789961164208104.00,28.32,8151948144423692.00,44100.00,8151948144379592.00,36941909308587696.00,0.00,75.0,69,94.7,Holiday Triumph,Above Break-Even,No,35724.92,1133.27
2025-12-01,36941909308587696.00,82.37,30427758035094244.00,44100.00,30427758035050144.00,67369667343637840.00,0.00,75.0,74,34.9,Year-End Victory,Above Break-Even,No,20807.56,1259.63
