Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit
2020-01-01,3500000.00,26.87,940379.22,63000.00,877379.22,4377379.22,0.00,75.0,80,66.6,COVID-19 Market Crash,Above Break-Even,No
2020-02-01,4377379.22,0.23,10205.31,63000.00,-52794.69,4324584.52,1.21,50.3,33,78.8,Global Lockdown,Below Break-Even,No
2020-03-01,4324584.52,-9.97,-431204.62,63000.00,-494204.62,3830379.90,12.50,35.0,82,68.5,Supply Chain Disruption,Below Break-Even,Yes
2020-04-01,3830379.90,0.05,1929.91,63000.00,-61070.09,3769309.81,13.89,50.1,30,72.0,Stimulus Announcement,Below Break-Even,Yes
2020-05-01,3769309.81,14.50,546544.28,63000.00,483544.28,4252854.09,2.84,71.7,39,35.9,Auto Dealers Reopen,Above Break-Even,No
2020-06-01,4252854.09,-3.23,-137316.48,63000.00,-200316.48,4052537.61,7.42,45.2,42,49.3,Summer Sales Boost,Below Break-Even,No
2020-07-01,4052537.61,17.49,708914.05,63000.00,645914.05,4698451.66,0.00,75.0,18,54.7,Travel Restrictions Ease,Above Break-Even,No
2020-08-01,4698451.66,-4.87,-228741.68,63000.00,-291741.68,4406709.98,6.21,42.7,25,57.9,Demand Recovery,Below Break-Even,No
2020-09-01,4406709.98,-5.18,-228141.73,63000.00,-291141.73,4115568.26,12.41,42.2,40,39.0,Fall Season Start,Below Break-Even,Yes
2020-10-01,4115568.26,17.66,726605.60,63000.00,663605.60,4779173.85,0.00,75.0,75,72.4,Year-End Models,Above Break-Even,No
2020-11-01,4779173.85,14.22,679755.75,63000.00,616755.75,5395929.60,0.00,71.3,32,29.1,Holiday Season Start,Above Break-Even,No
2020-12-01,5395929.60,-15.92,-859213.52,63000.00,-922213.52,4473716.09,17.09,26.1,82,79.5,Year-End Rush,Below Break-Even,Yes
