Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit
2022-01-01,26716444.44,14.92,3986397.52,1300.00,3985097.52,30701541.97,0.00,72.4,76,65.6,Inflation Spike,Above Break-Even,No
2022-02-01,30701541.97,25.31,7770745.79,1300.00,7769445.79,38470987.76,0.00,75.0,37,90.2,Fed Rate Hikes,Above Break-Even,No
2022-03-01,38470987.76,-2.04,-786149.11,1300.00,-787449.11,37683538.65,2.05,46.9,85,31.3,Ukraine Conflict,Below Break-Even,No
2022-04-01,37683538.65,12.41,4678117.48,1300.00,4676817.48,42360356.13,0.00,68.6,76,62.1,Energy Crisis,Above Break-Even,No
2022-05-01,42360356.13,-5.27,-2234457.41,1300.00,-2235757.41,40124598.72,5.28,42.1,78,31.3,Supply Chain Issues,Below Break-Even,No
2022-06-01,40124598.72,3.77,1511053.35,1300.00,1509753.35,41634352.07,1.71,55.6,40,27.2,Summer Inflation,Above Break-Even,No
2022-07-01,41634352.07,-11.92,-4961765.30,1300.00,-4963065.30,36671286.77,13.43,32.1,37,64.3,Recession Fears,Below Break-Even,Yes
2022-08-01,36671286.77,0.13,48355.55,1300.00,47055.55,36718342.32,13.32,50.2,27,58.8,Energy Prices Peak,Above Break-Even,Yes
2022-09-01,36718342.32,5.00,1837223.54,1300.00,1835923.54,38554265.85,8.99,57.5,50,84.8,Central Bank Action,Above Break-Even,No
2022-10-01,38554265.85,8.66,3339856.20,1300.00,3338556.20,41892822.05,1.10,63.0,82,49.5,Market Volatility,Above Break-Even,No
2022-11-01,41892822.05,-11.44,-4794184.82,1300.00,-4795484.82,37097337.23,12.42,32.8,43,67.9,Holiday Spending,Below Break-Even,Yes
2022-12-01,37097337.23,7.98,2959207.60,1300.00,2957907.60,40055244.83,5.44,62.0,77,35.8,Year-End Adjustment,Above Break-Even,No
