Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit
2022-01-01,3363500000.00,24.46,822704991.48,63000.00,822641991.48,4186141991.48,0.00,75.0,70,76.9,Inflation Spike,Above Break-Even,No
2022-02-01,4186141991.48,-1.40,-58608691.23,63000.00,-58671691.23,4127470300.25,1.40,47.9,67,84.3,Fed Rate Hikes,Below Break-Even,No
2022-03-01,4127470300.25,15.47,638636103.25,63000.00,638573103.25,4766043403.50,0.00,73.2,61,47.6,Ukraine Conflict,Above Break-Even,No
2022-04-01,4766043403.50,22.08,1052253978.75,63000.00,1052190978.75,5818234382.25,0.00,75.0,51,94.5,Energy Crisis,Above Break-Even,No
2022-05-01,5818234382.25,6.58,382728093.44,63000.00,382665093.44,6200899475.70,0.00,59.9,18,68.0,Supply Chain Issues,Above Break-Even,No
2022-06-01,6200899475.70,32.28,2001413563.22,63000.00,2001350563.22,8202250038.92,0.00,75.0,33,72.4,Summer Inflation,Above Break-Even,No
2022-07-01,8202250038.92,-1.27,-104100197.68,63000.00,-104163197.68,8098086841.23,1.27,48.1,82,70.8,Recession Fears,Below Break-Even,No
2022-08-01,8098086841.23,14.25,1154258799.65,63000.00,1154195799.65,9252282640.88,0.00,71.4,27,71.4,Energy Prices Peak,Above Break-Even,No
2022-09-01,9252282640.88,29.27,2708145084.59,63000.00,2708082084.59,11960364725.47,0.00,75.0,27,86.4,Central Bank Action,Above Break-Even,No
2022-10-01,11960364725.47,5.37,642118339.43,63000.00,642055339.43,12602420064.90,0.00,58.1,40,29.3,Market Volatility,Above Break-Even,No
2022-11-01,12602420064.90,16.82,2120045366.60,63000.00,2119982366.60,14722402431.50,0.00,75.0,78,87.7,Holiday Spending,Above Break-Even,No
2022-12-01,14722402431.50,3.05,449526449.03,63000.00,449463449.03,15171865880.53,0.00,54.6,77,51.3,Year-End Adjustment,Above Break-Even,No
