Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit
2021-01-01,2578333.33,56.19,1448761.81,4250.00,1444511.81,4022845.14,0.00,75.0,18,55.5,Vaccine Rollout,Above Break-Even,No
2021-02-01,4022845.14,-36.68,-1475667.09,4250.00,-1479917.09,2542928.05,36.79,25.0,40,81.6,Stimulus Checks,Below Break-Even,Yes
2021-03-01,2542928.05,25.91,658960.61,4250.00,654710.61,3197638.67,20.51,75.0,51,38.0,Reopening Acceleration,Above Break-Even,Yes
2021-04-01,3197638.67,10.63,339983.02,4250.00,335733.02,3533371.69,12.17,65.9,29,64.2,Infrastructure Bill,Above Break-Even,No
2021-05-01,3533371.69,8.27,292122.29,4250.00,287872.29,3821243.97,5.01,62.4,18,89.0,Summer Travel,Above Break-Even,No
2021-06-01,3821243.97,-21.57,-824207.74,4250.00,-828457.74,2992786.24,25.61,25.0,58,92.8,Supply Chain Recovery,Below Break-Even,Yes
2021-07-01,2992786.24,0.36,10821.19,4250.00,6571.19,2999357.43,25.44,50.5,72,51.8,Delta Variant Impact,Above Break-Even,Yes
2021-08-01,2999357.43,20.25,607266.49,4250.00,603016.49,3602373.92,10.45,75.0,73,74.0,Back to Office,Above Break-Even,No
2021-09-01,3602373.92,-22.85,-823095.96,4250.00,-827345.96,2775027.96,31.02,25.0,81,49.4,Fall Production,Below Break-Even,Yes
2021-10-01,2775027.96,20.11,557969.45,4250.00,553719.45,3328747.42,17.25,75.0,21,31.8,Holiday Inventory,Above Break-Even,No
2021-11-01,3328747.42,35.95,1196700.64,4250.00,1192450.64,4521198.06,0.00,75.0,41,90.3,Black Friday,Above Break-Even,No
2021-12-01,4521198.06,9.69,438009.30,4250.00,433759.30,4954957.36,0.00,64.5,40,90.9,Year-End Rally,Above Break-Even,No
