Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit
2023-01-01,2315250000.00,5.33,123489100.74,5250.00,123483850.74,2438733850.74,0.00,58.0,72,63.3,Banking Crisis,Above Break-Even,No
2023-02-01,2438733850.74,3.40,82821447.54,5250.00,82816197.54,2521550048.28,0.00,55.1,27,64.5,Rate Pause,Above Break-Even,No
2023-03-01,2521550048.28,30.76,775711390.45,5250.00,775706140.45,3297256188.72,0.00,75.0,48,59.3,SVB Collapse,Above Break-Even,No
2023-04-01,3297256188.72,23.64,779404223.76,5250.00,779398973.76,4076655162.49,0.00,75.0,37,76.4,Regional Banking Stress,Above Break-Even,No
2023-05-01,4076655162.49,10.45,426097524.11,5250.00,426092274.11,4502747436.60,0.00,65.7,31,94.1,Debt Ceiling Crisis,Above Break-Even,No
2023-06-01,4502747436.60,14.87,669337755.94,5250.00,669332505.94,5172079942.54,0.00,72.3,63,69.0,AI Boom,Above Break-Even,No
2023-07-01,5172079942.54,-3.93,-203382915.35,5250.00,-203388165.35,4968691777.19,3.93,44.1,57,51.3,Summer Recovery,Below Break-Even,No
2023-08-01,4968691777.19,-22.90,-1137642136.00,5250.00,-1137647386.00,3831044391.19,25.93,25.0,67,92.0,Inflation Cooling,Below Break-Even,Yes
2023-09-01,3831044391.19,3.42,131024045.06,5250.00,131018795.06,3962063186.26,23.40,55.1,33,84.5,Fed Policy Shift,Above Break-Even,Yes
2023-10-01,3962063186.26,2.83,111944941.32,5250.00,111939691.32,4074002877.58,21.23,54.2,25,92.2,Q3 Earnings,Above Break-Even,Yes
2023-11-01,4074002877.58,6.84,278799993.25,5250.00,278794743.25,4352797620.83,15.84,60.3,31,78.9,Holiday Season,Above Break-Even,Yes
2023-12-01,4352797620.83,15.33,667181162.13,5250.00,667175912.13,5019973532.96,2.94,73.0,81,25.1,Year-End Optimism,Above Break-Even,No
