Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit
2023-01-01,197295148.15,-11.22,-22137871.02,1675.00,-22139546.02,175155602.13,11.22,33.2,71,55.8,Banking Crisis,Below Break-Even,No
2023-02-01,175155602.13,19.70,34503540.06,1675.00,34501865.06,209657467.19,0.00,75.0,39,35.3,Rate Pause,Above Break-Even,No
2023-03-01,209657467.19,15.02,31498799.04,1675.00,31497124.04,241154591.23,0.00,72.5,23,52.1,SVB Collapse,Above Break-Even,No
2023-04-01,241154591.23,2.28,5508817.93,1675.00,5507142.93,246661734.16,0.00,53.4,23,44.0,Regional Banking Stress,Above Break-Even,No
2023-05-01,246661734.16,29.13,71853502.41,1675.00,71851827.41,318513561.57,0.00,75.0,77,59.7,Debt Ceiling Crisis,Above Break-Even,No
2023-06-01,318513561.57,20.34,64771224.74,1675.00,64769549.74,383283111.31,0.00,75.0,20,47.0,AI Boom,Above Break-Even,No
2023-07-01,383283111.31,-20.24,-77586884.20,1675.00,-77588559.20,305694552.11,20.24,25.0,84,92.9,Summer Recovery,Below Break-Even,Yes
2023-08-01,305694552.11,2.55,7801046.26,1675.00,7799371.26,313493923.37,18.21,53.8,73,33.0,Inflation Cooling,Above Break-Even,Yes
2023-09-01,313493923.37,20.78,65149854.17,1675.00,65148179.17,378642102.54,1.21,75.0,71,41.2,Fed Policy Shift,Above Break-Even,No
2023-10-01,378642102.54,22.05,83485473.16,1675.00,83483798.16,462125900.71,0.00,75.0,44,62.3,Q3 Earnings,Above Break-Even,No
2023-11-01,462125900.71,-3.68,-17002044.96,1675.00,-17003719.96,445122180.74,3.68,44.5,65,91.2,Holiday Season,Below Break-Even,No
2023-12-01,445122180.74,-0.65,-2880635.38,1675.00,-2882310.38,442239870.37,4.30,49.0,65,66.9,Year-End Optimism,Below Break-Even,No
