Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit
2021-01-01,18980000.00,-0.33,-62301.49,15330.00,-77631.49,18902368.51,0.41,49.5,18,84.9,Vaccine Rollout,Below Break-Even,No
2021-02-01,18902368.51,6.12,1157692.66,15330.00,1142362.66,20044731.17,0.00,59.2,74,58.9,Stimulus Checks,Above Break-Even,No
2021-03-01,20044731.17,-19.46,-3901691.68,15330.00,-3917021.68,16127709.49,19.54,25.0,46,78.2,Reopening Acceleration,Below Break-Even,Yes
2021-04-01,16127709.49,15.95,2572798.82,15330.00,2557468.82,18685178.31,6.78,73.9,48,69.5,Infrastructure Bill,Above Break-Even,No
2021-05-01,18685178.31,15.62,2917873.37,15330.00,2902543.37,21587721.69,0.00,73.4,32,48.9,Summer Travel,Above Break-Even,No
2021-06-01,21587721.69,11.84,2556029.42,15330.00,2540699.42,24128421.10,0.00,67.8,73,25.1,Supply Chain Recovery,Above Break-Even,No
2021-07-01,24128421.10,24.81,5985740.65,15330.00,5970410.65,30098831.75,0.00,75.0,30,71.9,Delta Variant Impact,Above Break-Even,No
2021-08-01,30098831.75,4.93,1482526.57,15330.00,1467196.57,31566028.32,0.00,57.4,74,36.2,Back to Office,Above Break-Even,No
2021-09-01,31566028.32,-1.43,-452372.37,15330.00,-467702.37,31098325.94,1.48,47.9,70,90.6,Fall Production,Below Break-Even,No
2021-10-01,31098325.94,10.35,3218147.19,15330.00,3202817.19,34301143.13,0.00,65.5,23,58.9,Holiday Inventory,Above Break-Even,No
2021-11-01,34301143.13,6.58,2255473.78,15330.00,2240143.78,36541286.91,0.00,59.9,66,29.9,Black Friday,Above Break-Even,No
2021-12-01,36541286.91,18.25,6668236.95,15330.00,6652906.95,43194193.86,0.00,75.0,33,86.1,Year-End Rally,Above Break-Even,No
