Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit
2020-01-01,1170310.00,20.27,237182.52,21065.58,216116.94,1386426.94,0.00,75.0,84,53.3,COVID-19 Market Crash,Above Break-Even,No
2020-02-01,1386426.94,5.13,71179.28,21065.58,50113.70,1436540.64,0.00,57.7,25,84.7,Global Lockdown,Above Break-Even,No
2020-03-01,1436540.64,6.65,95551.74,21065.58,74486.16,1511026.80,0.00,60.0,63,41.4,Supply Chain Disruption,Above Break-Even,No
2020-04-01,1511026.80,-4.36,-65814.53,21065.58,-86880.11,1424146.69,5.75,43.5,62,82.9,Stimulus Announcement,Below Break-Even,No
2020-05-01,1424146.69,1.72,24502.26,21065.58,3436.68,1427583.37,5.52,52.6,26,80.8,Auto Dealers Reopen,Above Break-Even,No
2020-06-01,1427583.37,3.39,48402.76,21065.58,27337.18,1454920.55,3.71,55.1,39,93.2,Summer Sales Boost,Above Break-Even,No
2020-07-01,1454920.55,12.21,177581.57,21065.58,156515.99,1611436.53,0.00,68.3,57,84.1,Travel Restrictions Ease,Above Break-Even,No
2020-08-01,1611436.53,8.50,137014.64,21065.58,115949.06,1727385.59,0.00,62.8,63,52.6,Demand Recovery,Above Break-Even,No
2020-09-01,1727385.59,-0.75,-12946.14,21065.58,-34011.72,1693373.87,1.97,48.9,31,63.4,Fall Season Start,Below Break-Even,No
2020-10-01,1693373.87,10.49,177573.29,21065.58,156507.71,1849881.58,0.00,65.7,45,54.8,Year-End Models,Above Break-Even,No
2020-11-01,1849881.58,22.31,412672.46,21065.58,391606.88,2241488.46,0.00,75.0,26,55.8,Holiday Season Start,Above Break-Even,No
2020-12-01,2241488.46,19.15,429168.26,21065.58,408102.68,2649591.14,0.00,75.0,73,81.4,Year-End Rush,Above Break-Even,No
