Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit
2024-01-01,2827897123.46,28.41,803320872.92,1675.00,803319197.92,3631216321.38,0.00,75.0,44,56.3,Rate Cut Expectations,Above Break-Even,No
2024-02-01,3631216321.38,35.82,1300860831.79,1675.00,1300859156.79,4932075478.17,0.00,75.0,68,86.0,Election Year Politics,Above Break-Even,No
2024-03-01,4932075478.17,-4.74,-234010220.93,1675.00,-234011895.93,4698063582.24,4.74,42.9,68,65.3,Spring Rally,Below Break-Even,No
2024-04-01,4698063582.24,-12.42,-583655391.95,1675.00,-583657066.95,4114406515.29,16.58,31.4,22,88.4,Economic Recovery,Below Break-Even,Yes
2024-05-01,4114406515.29,2.49,102410180.94,1675.00,102408505.94,4216815021.23,14.50,53.7,44,60.2,Summer Growth,Above Break-Even,Yes
2024-06-01,4216815021.23,6.74,284031549.09,1675.00,284029874.09,4500844895.32,8.74,60.1,42,76.5,Tech Innovation,Above Break-Even,No
2024-07-01,4500844895.32,48.67,2190647579.68,1675.00,2190645904.68,6691490800.00,0.00,75.0,66,75.6,Mid-Year Review,Above Break-Even,No
2024-08-01,6691490800.00,-14.09,-942820552.17,1675.00,-942822227.17,5748668572.83,14.09,28.9,57,70.1,Back to School,Below Break-Even,Yes
2024-09-01,5748668572.83,8.43,484537183.08,1675.00,484535508.08,6233204080.91,6.85,62.6,76,65.3,Fall Expansion,Above Break-Even,No
2024-10-01,6233204080.91,-4.07,-253845998.13,1675.00,-253847673.13,5979356407.78,10.64,43.9,82,26.4,Q4 Preparation,Below Break-Even,No
2024-11-01,5979356407.78,49.52,2960889883.72,1675.00,2960888208.72,8940244616.50,0.00,75.0,56,88.4,Holiday Momentum,Above Break-Even,No
2024-12-01,8940244616.50,47.53,4249439577.36,1675.00,4249437902.36,13189682518.86,0.00,75.0,23,52.7,Year-End Strength,Above Break-Even,No
