Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit,BTC_Price_USD,ETH_Price_USD
2023-01-01,876881950000.00,-10.92,-95740378223.71,44100.00,-95740422323.71,781141527676.29,10.92,33.6,28,51.1,Banking Crisis,Below Break-Even,No,24122.17,835.69
2023-02-01,781141527676.29,11.43,89299592795.81,44100.00,89299548695.81,870441076372.10,0.73,67.1,42,35.9,Rate Pause,Above Break-Even,No,16956.69,511.95
2023-03-01,870441076372.10,16.36,142379831204.30,44100.00,142379787104.30,1012820863476.40,0.00,74.5,35,58.4,SVB Collapse,Above Break-Even,No,21970.94,347.23
2023-04-01,1012820863476.40,22.38,226713236976.72,44100.00,226713192876.72,1239534056353.13,0.00,75.0,43,56.9,Regional Banking Stress,Above Break-Even,No,24927.62,504.97
2023-05-01,1239534056353.13,8.04,99686506382.24,44100.00,99686462282.24,1339220518635.37,0.00,62.1,17,78.5,Debt Ceiling Crisis,Above Break-Even,No,22828.56,915.26
2023-06-01,1339220518635.37,3.87,51790984988.86,44100.00,51790940888.86,1391011459524.23,0.00,55.8,65,88.4,AI Boom,Above Break-Even,No,19562.68,497.90
2023-07-01,1391011459524.23,-10.15,-141181879776.85,44100.00,-141181923876.85,1249829535647.39,10.15,34.8,36,92.3,Summer Recovery,Below Break-Even,No,23721.45,758.72
2023-08-01,1249829535647.39,82.50,1031130643009.95,44100.00,1031130598909.95,2280960134557.34,0.00,75.0,80,31.0,Inflation Cooling,Above Break-Even,No,24292.33,957.98
2023-09-01,2280960134557.34,-39.21,-894426663803.58,44100.00,-894426707903.58,1386533426653.76,39.21,25.0,67,84.2,Fed Policy Shift,Below Break-Even,Yes,19618.16,858.75
2023-10-01,1386533426653.76,48.04,666035360516.68,44100.00,666035316416.68,2052568743070.44,10.01,75.0,53,92.8,Q3 Earnings,Above Break-Even,No,18879.54,1005.86
2023-11-01,2052568743070.44,45.30,929808349693.24,44100.00,929808305593.24,2982377048663.69,0.00,75.0,34,77.8,Holiday Season,Above Break-Even,No,26012.54,875.51
2023-12-01,2982377048663.69,40.62,1211583091468.14,44100.00,1211583047368.14,4193960096031.82,0.00,75.0,45,90.3,Year-End Optimism,Above Break-Even,No,26343.78,1020.01
