Date,Starting_Capital_USD,Monthly_Return_Pct,Monthly_Return_USD,Running_Cost_USD,Net_Monthly_Return_USD,Ending_Capital_USD,Drawdown_Pct,Win_Rate_Pct,Total_Trades,Volatility_Index,Market_Event,Break_Even_Status,Risk_Tolerance_Hit
2021-01-01,2275000.00,-6.44,-146573.13,3750.00,-150323.13,2124676.87,6.61,40.3,70,56.7,Vaccine Rollout,Below Break-Even,No
2021-02-01,2124676.87,4.18,88913.37,3750.00,85163.37,2209840.24,2.86,56.3,51,57.9,Stimulus Checks,Above Break-Even,No
2021-03-01,2209840.24,-5.63,-124328.54,3750.00,-128078.54,2081761.70,8.49,41.6,31,44.4,Reopening Acceleration,Below Break-Even,Yes
2021-04-01,2081761.70,6.19,128916.50,3750.00,125166.50,2206928.20,2.99,59.3,20,94.3,Infrastructure Bill,Above Break-Even,No
2021-05-01,2206928.20,8.52,188074.90,3750.00,184324.90,2391253.10,0.00,62.8,74,88.7,Summer Travel,Above Break-Even,No
2021-06-01,2391253.10,-0.44,-10568.24,3750.00,-14318.24,2376934.86,0.60,49.3,42,25.3,Supply Chain Recovery,Below Break-Even,No
2021-07-01,2376934.86,12.27,291737.39,3750.00,287987.39,2664922.26,0.00,68.4,16,32.0,Delta Variant Impact,Above Break-Even,No
2021-08-01,2664922.26,17.88,476417.06,3750.00,472667.06,3137589.32,0.00,75.0,67,93.3,Back to Office,Above Break-Even,No
2021-09-01,3137589.32,20.40,639917.18,3750.00,636167.18,3773756.51,0.00,75.0,27,61.4,Fall Production,Above Break-Even,No
2021-10-01,3773756.51,0.88,33141.97,3750.00,29391.97,3803148.48,0.00,51.3,82,33.3,Holiday Inventory,Above Break-Even,No
2021-11-01,3803148.48,-7.92,-301271.25,3750.00,-305021.25,3498127.23,8.02,38.1,84,32.4,Black Friday,Below Break-Even,Yes
2021-12-01,3498127.23,0.18,6133.17,3750.00,2383.17,3500510.40,7.96,50.3,52,48.7,Year-End Rally,Above Break-Even,No
